model,fpr,tpr
逻辑回归,0.07082543511976563,0.06959434313360625
逻辑回归,0.07082543511976563,0.06996650539635281
逻辑回归,0.07134240909874202,0.06996650539635281
逻辑回归,0.07134240909874202,0.07033866765909937
逻辑回归,0.07151473375840083,0.07033866765909937
逻辑回归,0.07151473375840083,0.07071082992184592
逻辑回归,0.07168705841805963,0.07071082992184592
逻辑回归,0.07168705841805963,0.07108299218459248
逻辑回归,0.07203170773737722,0.07108299218459248
逻辑回归,0.07203170773737722,0.07257164123557872
逻辑回归,0.07530587627089437,0.07257164123557872
逻辑回归,0.07530587627089437,0.07294380349832527
逻辑回归,0.07547820093055316,0.07294380349832527
逻辑回归,0.07547820093055316,0.0744324525493115
逻辑回归,0.07737377218679993,0.0744324525493115
逻辑回归,0.07737377218679993,0.07517677707480462
逻辑回归,0.07806307082543512,0.07517677707480462
逻辑回归,0.07806307082543512,0.07554893933755118
逻辑回归,0.07823539548509392,0.07554893933755118
逻辑回归,0.07823539548509392,0.07592110160029773
逻辑回归,0.08030329140099948,0.07592110160029773
逻辑回归,0.08030329140099948,0.07629326386304429
逻辑回归,0.08099259003963467,0.07629326386304429
逻辑回归,0.08099259003963467,0.07666542612579084
逻辑回归,0.08116491469929348,0.07666542612579084
逻辑回归,0.08116491469929348,0.07778191291403051
逻辑回归,0.08219886265724625,0.07778191291403051
逻辑回归,0.08219886265724625,0.07815407517677707
逻辑回归,0.08271583663622264,0.07815407517677707
逻辑回归,0.08271583663622264,0.07852623743952364
逻辑回归,0.08288816129588145,0.07852623743952364
逻辑回归,0.08288816129588145,0.0796427242277633
逻辑回归,0.08323281061519903,0.0796427242277633
逻辑回归,0.08323281061519903,0.08075921101600297
逻辑回归,0.08357745993451662,0.08075921101600297
逻辑回归,0.08357745993451662,0.08150353554149609
逻辑回归,0.08409443391349303,0.08150353554149609
逻辑回归,0.08409443391349303,0.08224786006698921
逻辑回归,0.08461140789246942,0.08224786006698921
